fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,111,18,1,91,16,3
2020-04-21,115,18,1,95,16,3
2020-04-22,121,20,2,99,17,3
2020-04-23,127,23,2,116,7,2
2020-04-24,128,26,2,117,7,2
2020-04-25,129,29,2,118,7,2
2020-04-26,132,31,2,120,7,3
2020-04-27,135,31,2,123,7,3
2020-04-28,141,35,2,128,8,3
2020-04-29,147,39,2,132,10,3
2020-04-30,152,39,2,137,10,3
2020-05-01,166,43,2,150,11,3
2020-05-03,173,47,2,155,11,3
2020-05-04,179,49,2,163,11,3
2020-05-05,181,53,2,165,11,3
