fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,183,35,15,132,30,6
2020-04-21,189,35,15,139,30,5
2020-04-22,195,36,16,142,29,8
2020-04-23,201,40,16,154,21,10
2020-04-24,219,48,17,169,24,9
2020-04-25,222,52,17,172,24,9
2020-04-26,230,54,17,180,24,9
2020-04-27,235,55,17,184,25,9
2020-04-28,239,56,18,187,26,8
2020-04-29,258,62,21,196,33,8
2020-04-30,262,62,22,198,34,8
2020-05-01,282,62,26,207,40,9
2020-05-03,292,69,26,198,43,9
2020-05-04,297,70,28,218,42,9
2020-05-05,315,78,29,228,49,9
