fecha,infectados,recuperados,fallecidos,leve,moderado,grave
2020-04-19,0,0,0,0,0,0
2020-04-20,394,68,48,256,69,21
2020-04-21,409,67,52,269,67,21
2020-04-22,423,70,56,280,63,24
2020-04-23,442,74,58,306,42,36
2020-04-24,469,84,59,327,48,35
2020-04-25,487,93,60,342,50,35
2020-04-26,501,97,61,354,51,35
2020-04-27,511,101,63,362,52,34
2020-04-28,532,102,67,375,57,33
2020-04-29,560,116,70,390,65,35
2020-04-30,588,121,78,406,71,33
2020-05-01,624,125,82,433,77,32
2020-05-03,657,138,86,422,80,31
2020-05-04,674,145,93,472,81,28
2020-05-05,722,160,96,500,96,30
