fecha de notificacion,Colombia,Bogotá D.C.,Cali,Medellín,Villavicencio
2020-03-02,1,1.0,0.0,0.0,0.0
2020-03-06,2,1.0,0.0,0.0,0.0
2020-03-07,3,1.0,0.0,1.0,0.0
2020-03-08,5,2.0,0.0,1.0,0.0
2020-03-09,8,3.0,0.0,3.0,0.0
2020-03-10,12,3.0,0.0,3.0,0.0
2020-03-11,20,8.0,0.0,6.0,0.0
2020-03-12,32,14.0,0.0,7.0,0.0
2020-03-13,45,21.0,1.0,7.0,1.0
2020-03-14,65,27.0,3.0,7.0,1.0
2020-03-15,84,32.0,3.0,8.0,1.0
2020-03-16,112,41.0,6.0,10.0,1.0
2020-03-17,154,56.0,14.0,14.0,1.0
2020-03-18,198,71.0,15.0,18.0,1.0
2020-03-19,268,91.0,20.0,30.0,3.0
2020-03-20,344,120.0,29.0,38.0,4.0
2020-03-21,421,150.0,37.0,41.0,6.0
2020-03-22,502,178.0,50.0,41.0,7.0
2020-03-23,595,235.0,58.0,44.0,7.0
2020-03-24,727,306.0,72.0,52.0,7.0
2020-03-25,885,361.0,97.0,58.0,8.0
2020-03-26,1038,431.0,114.0,68.0,12.0
2020-03-27,1197,502.0,133.0,78.0,12.0
2020-03-28,1362,558.0,151.0,94.0,13.0
2020-03-29,1499,650.0,164.0,98.0,14.0
2020-03-30,1691,744.0,186.0,108.0,14.0
2020-03-31,1879,833.0,221.0,112.0,14.0
2020-04-01,2071,946.0,244.0,118.0,15.0
2020-04-02,2227,1021.0,261.0,126.0,16.0
2020-04-03,2412,1090.0,293.0,139.0,17.0
2020-04-04,2566,1162.0,317.0,142.0,18.0
2020-04-05,2665,1214.0,333.0,148.0,19.0
2020-04-06,2805,1285.0,367.0,149.0,19.0
2020-04-07,2953,1363.0,386.0,156.0,20.0
2020-04-08,3076,1425.0,404.0,160.0,20.0
2020-04-09,3209,1475.0,431.0,165.0,20.0
2020-04-10,3325,1530.0,446.0,171.0,20.0
2020-04-11,3566,1645.0,480.0,181.0,38.0
2020-04-12,3715,1720.0,486.0,184.0,39.0
2020-04-13,3891,1802.0,507.0,189.0,41.0
2020-04-14,4106,1858.0,526.0,203.0,42.0
2020-04-15,4255,1922.0,540.0,214.0,46.0
2020-04-16,4493,2045.0,571.0,223.0,55.0
2020-04-17,4645,2112.0,587.0,223.0,59.0
2020-04-18,4831,2194.0,610.0,229.0,77.0
2020-04-19,5039,2296.0,621.0,234.0,107.0
2020-04-20,5225,2380.0,637.0,243.0,110.0
2020-04-21,5437,2460.0,663.0,246.0,131.0
2020-04-22,5672,2552.0,693.0,252.0,140.0
2020-04-23,5951,2710.0,712.0,258.0,158.0
2020-04-24,6223,2797.0,735.0,267.0,172.0
2020-04-25,6527,2873.0,756.0,269.0,227.0
2020-04-26,6765,2940.0,772.0,271.0,245.0
2020-04-27,7139,3062.0,806.0,279.0,258.0
2020-04-28,7633,3169.0,843.0,280.0,344.0
2020-04-29,7947,3294.0,874.0,282.0,347.0
2020-04-30,8334,3421.0,898.0,283.0,372.0
2020-05-01,8712,3535.0,909.0,285.0,456.0
2020-05-02,8937,3572.0,924.0,289.0,459.0
2020-05-03,9093,3590.0,942.0,293.0,544.0
2020-05-04,9190,3598.0,966.0,295.0,544.0
2020-05-05,9385,3599.0,972.0,297.0,714.0
2020-05-06,9435,3599.0,973.0,297.0,718.0
2020-05-07,9456,3599.0,973.0,297.0,735.0
