fecha_de_muerte,Colombia,Bogotá D.C.,Cali,Medellín,Villavicencio
2020-03-28,1,0.0,0.0,0.0,0.0
2020-03-31,2,1.0,0.0,0.0,0.0
2020-04-03,4,2.0,0.0,1.0,0.0
2020-04-04,5,3.0,0.0,1.0,0.0
2020-04-06,6,3.0,0.0,1.0,1.0
2020-04-08,7,3.0,0.0,1.0,1.0
2020-04-11,8,3.0,0.0,1.0,1.0
2020-04-13,9,4.0,0.0,1.0,1.0
2020-04-14,11,5.0,0.0,1.0,1.0
2020-04-15,13,7.0,0.0,1.0,1.0
2020-04-19,14,8.0,0.0,1.0,1.0
2020-04-20,15,8.0,0.0,1.0,1.0
2020-04-23,17,8.0,1.0,1.0,1.0
2020-04-26,18,9.0,1.0,1.0,1.0
2020-04-29,19,10.0,1.0,1.0,1.0
2020-05-01,20,10.0,1.0,1.0,1.0
2020-05-02,21,10.0,1.0,1.0,1.0
2020-05-03,22,10.0,1.0,1.0,1.0
