fecha_recuperado,Colombia,Bogotá D.C.,Cali,Medellín
2020-03-13,1,1.0,0.0,0.0
2020-03-26,2,1.0,0.0,0.0
2020-03-27,3,2.0,0.0,0.0
2020-03-31,4,2.0,0.0,0.0
2020-04-01,6,2.0,0.0,0.0
2020-04-02,10,3.0,0.0,1.0
2020-04-03,12,3.0,0.0,1.0
2020-04-04,16,3.0,0.0,2.0
2020-04-05,17,3.0,0.0,2.0
2020-04-06,18,4.0,0.0,2.0
2020-04-08,19,4.0,0.0,2.0
2020-04-11,21,5.0,0.0,2.0
2020-04-12,26,8.0,0.0,2.0
2020-04-13,31,10.0,0.0,2.0
2020-04-14,34,12.0,0.0,2.0
2020-04-15,38,14.0,0.0,2.0
2020-04-16,42,16.0,0.0,2.0
2020-04-17,43,16.0,0.0,2.0
2020-04-18,45,16.0,0.0,2.0
2020-04-19,48,17.0,1.0,2.0
2020-04-21,51,17.0,2.0,2.0
2020-04-22,53,17.0,2.0,2.0
2020-04-23,57,19.0,2.0,3.0
2020-04-24,59,19.0,2.0,3.0
2020-04-26,64,19.0,2.0,4.0
2020-04-27,68,20.0,3.0,4.0
2020-04-28,76,23.0,5.0,4.0
2020-04-29,85,25.0,5.0,4.0
2020-04-30,87,25.0,6.0,4.0
2020-05-01,91,27.0,6.0,4.0
2020-05-02,98,31.0,6.0,4.0
2020-05-03,99,32.0,6.0,4.0
2020-05-04,100,32.0,6.0,4.0
2020-05-05,115,40.0,9.0,4.0
