fecha_recuperado,Colombia,Bogotá D.C.,Cali,Medellín,Villavicencio
2020-03-15,1,0.0,0.0,1.0,0.0
2020-03-20,2,1.0,0.0,1.0,0.0
2020-03-21,3,2.0,0.0,1.0,0.0
2020-03-23,4,2.0,1.0,1.0,0.0
2020-03-24,6,3.0,1.0,1.0,0.0
2020-03-25,10,3.0,1.0,2.0,0.0
2020-03-26,14,5.0,2.0,3.0,0.0
2020-03-27,15,5.0,2.0,3.0,0.0
2020-03-28,23,5.0,3.0,4.0,0.0
2020-03-30,36,8.0,3.0,6.0,0.0
2020-03-31,39,8.0,3.0,6.0,0.0
2020-04-01,41,9.0,4.0,6.0,0.0
2020-04-02,47,11.0,4.0,6.0,0.0
2020-04-03,52,12.0,4.0,7.0,0.0
2020-04-04,55,13.0,4.0,7.0,0.0
2020-04-05,57,13.0,4.0,8.0,0.0
2020-04-06,60,13.0,5.0,8.0,0.0
2020-04-07,62,14.0,5.0,8.0,0.0
2020-04-08,70,15.0,5.0,8.0,0.0
2020-04-09,78,17.0,7.0,8.0,0.0
2020-04-10,90,19.0,8.0,10.0,0.0
2020-04-11,96,21.0,8.0,10.0,1.0
2020-04-12,114,30.0,8.0,10.0,1.0
2020-04-13,124,36.0,9.0,10.0,1.0
2020-04-14,137,40.0,9.0,10.0,1.0
2020-04-15,148,48.0,9.0,10.0,1.0
2020-04-16,161,55.0,9.0,10.0,1.0
2020-04-17,170,56.0,9.0,10.0,1.0
2020-04-18,179,58.0,11.0,10.0,1.0
2020-04-19,190,61.0,12.0,12.0,1.0
2020-04-20,200,65.0,15.0,12.0,1.0
2020-04-21,213,68.0,16.0,13.0,2.0
2020-04-22,219,70.0,17.0,13.0,2.0
2020-04-23,230,74.0,17.0,15.0,2.0
2020-04-24,237,75.0,18.0,15.0,4.0
2020-04-25,256,84.0,21.0,15.0,4.0
2020-04-26,263,86.0,24.0,15.0,4.0
2020-04-27,267,89.0,24.0,15.0,4.0
2020-04-28,275,92.0,27.0,16.0,4.0
2020-04-29,286,96.0,28.0,16.0,4.0
2020-04-30,289,97.0,28.0,16.0,4.0
2020-05-01,293,98.0,29.0,17.0,4.0
2020-05-02,300,102.0,30.0,17.0,4.0
2020-05-03,306,106.0,30.0,17.0,4.0
2020-05-04,311,109.0,32.0,17.0,4.0
2020-05-05,335,121.0,36.0,17.0,4.0
2020-05-06,351,132.0,38.0,17.0,4.0
2020-05-07,363,139.0,39.0,18.0,4.0
