Codigo Departamento,Codigo Municipio,Municipio,Total ,Cabeceras,Centros poblados y rural disperso
05,05001,MEDELLÍN,12.8,12.6,22.9
05,05002,ABEJORRAL,40.6,24.1,51.4
05,05004,ABRIAQUÍ,34.8,13.6,45.2
05,05021,ALEJANDRÍA,31.9,15.8,53.7
05,05030,AMAGÁ,22.9,17.7,27.7
05,05031,AMALFI,43.3,26.3,66.3
05,05034,ANDES,40.1,25.2,54.4
05,05036,ANGELÓPOLIS,30.7,22.3,36.1
05,05038,ANGOSTURA,53.8,25.5,62.1
05,05040,ANORÍ,53.3,39.1,66.7
05,05042,SANTA FÉ DE ANTIOQUIA,29.7,19.0,51.2
05,05044,ANZÁ,47.1,24.0,52.4
05,05045,APARTADÓ,28.0,25.4,39.4
05,05051,ARBOLETES,59.1,35.2,72.8
05,05055,ARGELIA,48.7,31.6,62.2
05,05059,ARMENIA,37.7,25.2,44.7
05,05079,BARBOSA,22.2,14.5,29.4
05,05086,BELMIRA,40.8,19.0,50.1
05,05088,BELLO,14.2,13.3,34.6
05,05091,BETANIA,53.6,32.9,67.1
05,05093,BETULIA,53.1,35.2,59.9
05,05101,CIUDAD BOLÍVAR,40.4,30.1,57.7
05,05107,BRICEÑO,55.4,36.2,68.9
05,05113,BURITICÁ,51.3,29.7,59.5
05,05120,CÁCERES,66.4,60.9,67.8
05,05125,CAICEDO,54.6,25.1,62.7
05,05129,CALDAS,16.0,12.1,32.1
05,05134,CAMPAMENTO,59.3,32.3,71.7
05,05138,CAÑASGORDAS,45.3,23.5,56.9
05,05142,CARACOLÍ,35.9,24.9,53.4
05,05145,CARAMANTA,30.5,18.9,40.2
05,05147,CAREPA,34.4,29.2,46.3
05,05148,EL CARMEN DE VIBORAL,18.5,13.0,27.3
05,05150,CAROLINA,20.4,15.9,37.4
05,05154,CAUCASIA,36.0,32.2,63.4
05,05172,CHIGORODÓ,37.7,33.8,58.3
05,05190,CISNEROS,28.8,25.5,50.1
05,05197,COCORNÁ,42.9,25.1,54.8
05,05206,CONCEPCIÓN,33.0,16.8,46.3
05,05209,CONCORDIA,48.5,34.1,59.1
05,05212,COPACABANA,11.6,9.9,19.3
05,05234,DABEIBA,60.5,31.2,79.3
05,05237,DONMATÍAS,19.7,13.2,42.6
05,05240,EBÉJICO,39.1,15.1,44.3
05,05250,EL BAGRE,53.7,43.0,71.1
05,05264,ENTRERRÍOS,23.1,14.1,35.5
05,05266,ENVIGADO,4.9,4.7,9.2
05,05282,FREDONIA,31.6,22.6,37.9
05,05284,FRONTINO,51.3,21.0,71.5
05,05306,GIRALDO,33.4,24.9,38.3
