,USER,LOCATION,CREATED,TWEET,FAVCOUNT,COORDS,FOLLOWERS
3,@Amonnymous,MONTERIA,2020-04-11 01:31:20,"Colombia, país en el que ni una pandemia impide que los políticos roben.",0,,1643
52,@a_azurdia,COLOMBIA,2020-04-11 01:31:20,Nos vamos a volver a abrazar...FE !!!,0,,1617
72,@jaaa2000,MEDELLIN,2020-04-11 01:31:21,"Ni los perros ni los gatos 🐶🐱 te pueden contagiar del virus, pero sí debes tener precauciones:  1. Si tienes gripe o síntomas, evita tocar o besar a tu mascota, le puedes dejar el virus en su pelaje.  2. Limpia sus patas cuando vuelva de su paseo.  Ellos no son una amenaza. https://t.co/AEj45m2J1Z",0,,79
90,@ReyOspina3,ATLANTICO,2020-04-11 01:31:21,"👏👏🔥 Todas las felicitaciones al equipo humano que logró este gran avance para contener la pandemia en Colombia. Todos los aplausos para la academia y para la empresa privada, por su aporte en la fabricación de estos ventiladores. Se salvarán miles de vidas.",0,,354
100,@La_Mara_VilIa,BARRANQUILLA,2020-04-11 01:31:21,Siento que estoy desperdiciando mi Lenceria en esta cuarentena. Mejor no me pongo.,0,,25994
139,@elGrafomano,BOGOTA,2020-04-11 01:31:22,Desde la cuarentena no he vuelto a publicar 'selfies' porque mi estado de desarreglo es impresentable.,0,,38198
166,@hamendezc,BARRANQUILLA,2020-04-11 01:31:22,@Suvorov141487 @marcelosanchezx @ActualidadRT Comparara el contexto histórico de la peste negra con el actual no es acertado. Está pandemia ha dejado manifiesto que se requiere más ciencia y educación  que religión.,0,,104
254,@John_Fonseca,COLOMBIA,2020-04-11 01:31:24,Semana Santa Normal / Semana Santa en Cuarentena. https://t.co/jqrVVJzlgn,0,,184
363,@Davidzoot2,SINCELEJO,2020-04-11 01:31:26,"Colombia, país en el que ni una pandemia impide que los políticos roben.",0,,2304
475,@srtaa___morita,COLOMBIA,2020-04-11 01:31:29,Ella hace que mis días en cuarentena sean bonitos.,0,,17144
495,@SharonM27752528,BOGOTA,2020-04-11 01:31:29,Los manes que han sido “mis mejores amigos” son una completa porquería.,0,,103
498,@elmeralberto,COLOMBIA,2020-04-11 01:31:29,"@Valentinaamm Ánimo, lo importante es que esté bien y con deseos de seguir dando la pelea contra ese virus!!! Le deseo una pronta recuperación 🙏🏻",0,,506
514,@AdolphoX,MEDELLIN,2020-04-11 01:31:30,Este Untucked va a estar bueno bueno.,0,,1123
664,@Sin_patrocinios,BOGOTA,2020-04-11 01:31:33,"El Padrino, Back To the Future y el Planeta de los Simios (la de los 70' y la actual).  Basta. El resto son Universos Cinematográficos.",0,,1057
731,@auguII_a,COLOMBIA,2020-04-11 01:31:34,SI NO PAGAN FUERA ES LO JUSTO,0,,2533
833,@mrjhoned,VALLE,2020-04-11 01:31:36,"Antes del anuncio de @petrogustavo sobre su salud, leí trinos de algunos de sus opositores que le reprochaban por haber viajado supuestamente a Paris. Ha quedado demostrado, una vez más, que los odios que se exhiben en estas redes son brutales. Ni la pandemia los ha disminuido",0,,53
838,@SandinoVictoria,COLOMBIA,2020-04-11 01:31:36,#PutumayoNoEstaSolo,0,,33340
850,@vivanromero,BOGOTA,2020-04-11 01:31:36,"Artistas, en esta cuarentena, hagan arte.  ¿Recuerdan este grafitti? Maravilloso, directo del 2011-13. https://t.co/6jLJWOSdj4",0,,178
866,@mafon19,COLOMBIA,2020-04-11 01:31:37,ÚLTIMA HORA  Trump firma un decreto que permite sancionar a países que se nieguen o retrasen en la repatriación de sus ciudadanos desde EE.UU. durante la pandemia https://t.co/jLg9u0HZjA https://t.co/Prf6FBSMo3,0,,58
1114,@MundoredTV,COLOMBIA,2020-04-11 01:31:41,"Este Domingo @CanalRCN presentará el documental de @DiscoveryLA ""#COVIDー19 Pandemia 2020"" a las 10:00pm ¡Recomendado! https://t.co/UoQZFMOu3E",0,,25629
1128,@ADELACASTROM,BOGOTA,2020-04-11 01:31:42,"@drooppydoo @MinSaludCol La cuarentena? Cual cuarentena, si los amigos de la alcaldesa, están en las calles.",0,,618
1129,@LaCOsoG,BOGOTA,2020-04-11 01:31:42,"@OcesaColombia Sin pensarlo, @SJofficial  Cumplí en cuarentena, los merezco de cumpleaños",0,,207
1187,@tigrejerez,BUCARAMANGA,2020-04-11 01:31:43,"#Bitácora | #Viral... 🐾 Solía pensar que mi vida era una tragedia, pero ahora me doy cuenta que es una comedia.  JOAQUIN PHOENIX - Arthur Fleck - Joker ..... #cuarentena | Día 9 | Todo fluye😺 https://t.co/M9aQIhhkHm",0,,2573
1248,@Angiegars,BOGOTA,2020-04-11 01:31:44,Ella es #Morita ❤️❤️❤️❤️❤️#Micaelitos https://t.co/0bSj8ZsCFH,0,,3909
1330,@Erikpintor,CERETE,2020-04-11 01:31:46,"""Un kilo de avena vale 14 mil pesos, según el contrato 041 de 2020 firmado entre la Alcaldía de Manaure y Gonzalo Vangrieken Márquez para entregar mercados a familias Wayuu por el COVID19"". Informa @ArmandoWayuu https://t.co/O98mqwduDm",0,,196
1395,@mafercao,MANIZALES,2020-04-11 01:31:47,Filosofía...drama...cuarentena.  #cuarentenamood #coronavirus https://t.co/2hRaANmklS,0,,58
1476,@jaclom69,BOGOTA,2020-04-11 01:31:49,"Mientras la criminalidad se redujo, la violencia intrafamiliar, específicamente contra la mujer, ha aumentado durante la cuarentena https://t.co/lyM3FTUP2J",0,,173
1496,@jjgongora3,COLOMBIA,2020-04-11 01:31:49,"Soy covid 19 positivo, me tomé el examen nuevamente porque ayer cumplía mi cuarentena de 14 días desde que me tomé mi primer examen y sigo estando positiva. 19 días después de que empecé con los sintomas. Este virus dura más de lo que se cree, cuidense mucho porfavor! 🙏🏽",0,,2730
1563,@Comin0,BOGOTA,2020-04-11 01:31:50,@carlojarturo Pero al menos a Crackera ponían en el top cuando lo merecía no como a Jan.,0,,12104
1708,@omarherb,COLOMBIA,2020-04-11 01:31:53,😜😜 https://t.co/TLRwtAUPy7,0,,983
1709,@luismree,BOGOTA,2020-04-11 01:31:53,😡😐,0,,946
1728,@Mpestana1893,BARRANQUILLA,2020-04-11 01:31:54,"#COVID__19 | Desde que inició la pandemia del Covid-19 😷, las grandes ciudades 🏙️ cómo Roma, Nueva York, París, se han paralizado.  Ambientalistas aseguran que la pandemia ha dado un respiro al planeta 🌏, pero es muy pronto para sacar conclusiones. https://t.co/rfWDxkIdGd",0,,574
1850,@MaoCelisCa,COLOMBIA,2020-04-11 01:31:56,"Vi un video donde gran parte de la población China despide a todos los médicos que apoyaron el tema de la pandemia y Dios mío, lloré 😭, es impactante como una ciudad se levanta nuevamente",0,,10944
1899,@jaderoriginal,MEDELLIN,2020-04-11 01:31:57,@AlexParraM9 Disque perdió el bb y x eso no estuvo concentrado.. recuerdo que en el de ida.. siendo la figura del FPC en esos momentos no jugó el primer tiempo... Bobo hp,0,,133
2013,@CafeUniverso7,BOGOTA,2020-04-11 01:31:59,¡El último Cafe Universo! https://t.co/WNTNJMr58u #covid19 #cosmos,0,,2
2016,@APadillaBossio,CIENAGA,2020-04-11 01:31:59,"Soy covid 19 positivo, me tomé el examen nuevamente porque ayer cumplía mi cuarentena de 14 días desde que me tomé mi primer examen y sigo estando positiva. 19 días después de que empecé con los sintomas. Este virus dura más de lo que se cree, cuidense mucho porfavor! 🙏🏽",0,,5968
2076,@C_Roncallo12,BARRANQUILLA,2020-04-11 01:31:58,"Este muchacho que se la pasa en la vía 40 con murillo. Se que estamos muy ocupados con lo de la pandemia, pero ojala se pueda hacer algo por esta persona. @alcaldiabquilla @jaimepumarejo https://t.co/vgQyOFUTwG",0,,86
2084,@Se_basMorales,ARMENIA,2020-04-11 01:32:01,Jejejej nos vamos a morir jajaja que no quede nadie hp jajajs,0,,522
2132,@juantdec,COLOMBIA,2020-04-11 01:32:02,"“Dios es aliado nuestro, no del virus”: la homilía de Viernes Santo en el Vaticano https://t.co/9rXVhcmdPm",0,,21
2159,@Oskar_Diego,COLOMBIA,2020-04-11 01:32:02,@merymoisa @Ivon_RiveraA @Colecfeminista @liaburgos1310 @Anxelique @apeselsalvador @idhuca @PDDHElSalvador Den apoyo a la gente   que tiene el virus no aestas lacras,0,,227
2201,@daaani01_,COLOMBIA,2020-04-11 01:32:03,Love this idea: Medics tape photos of themselves smiling on their PPE so patients can see a reassuring &amp; friendly face. Human connection + compassion creatively maintained #covid19 https://t.co/tKhUDJrqKN https://t.co/GKKzrM05SC,0,,76
2217,@JairoRuiz1968,BOGOTA,2020-04-11 01:32:04,"@PalomaValenciaL Pido disculpas. No leí bien y es del 2019, lo que pasa es que con ustedes puede pasar cualquier cosa",0,,99
2288,@buena_nea,SOACHA,2020-04-11 01:32:05,@7ski5nny0 👃🏻,0,,209
2308,@DianaM_Escobar,COLOMBIA,2020-04-11 01:32:06,El día que se acabe la cuarentena: https://t.co/rAS9h1LK2S,0,,1561
2310,@martik1214,VALLE,2020-04-11 01:32:06,"Inconcebible que en plena pandemia en la que está el mundo, los simpatizantes de @petrogustavo sin respetar su lecho de enfermo, maldigan la buena salud de @AlvaroUribeVel. Ni siquiera el momento por el que está pasando su líder les ablanda sus corazones. #PaisDeMamarrachos",0,,3668
2359,@gustavogamboa7,COLOMBIA,2020-04-11 01:32:06,"Señores @PoliciaStander @PoliciaBmanga estos señores están violando el aislamiento obligatorio, promueven la propagación de virus sin mantener la distancia preventiva. Lo peor un diputado de #santander y 2 concejales de #Bucaramanga @FerleyProfe @danovislozano @CarlosParraBUC https://t.co/Kcx1ZsGd4D",0,,115
2423,@jodalzateca,MEDELLIN,2020-04-11 01:32:07,O saco brazo esta cuarentena o muero en el intento 🤘🏼🤪 #CabrasEnCasa https://t.co/WUYjaYNxo0,0,,49
